Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2011-12-12 13:55:37,Running,,10.16,53:04,5:14,11.48,879.0,159,,,2011-12-12-1355.gpx
2011-12-10 14:43:14,Running,,4.62,23:35,5:06,11.76,393.0,60,,"Gentle",2011-12-10-1443.gpx
2011-12-09 14:38:37,Running,,9.06,48:21,5:20,11.24,771.0,135,,,2011-12-09-1438.gpx
2011-12-06 16:43:22,Running,,3.84,19:09,4:59,12.02,328.0,51,,,2011-12-06-1643.gpx
2011-12-05 17:26:03,Running,,5.33,28:43,5:24,11.13,477.0,115,,,2011-12-05-1726.gpx
2011-12-02 15:18:34,Running,,3.82,19:30,5:06,11.75,324.0,49,,,2011-12-02-1518.gpx
2011-08-30 09:23:13,Running,,10.01,51:27,5:09,11.67,860.0,149,,,2011-08-30-0923.gpx
2011-08-28 20:07:08,Running,,4.64,22:51,4:56,12.18,386.0,48,,,2011-08-28-2007.gpx
2011-08-26 10:44:30,Running,,6.61,36:47,5:34,10.77,544.0,38,,,2011-08-26-1044.gpx
2011-08-16 18:31:29,Running,,6.03,29:36,4:55,12.21,510.0,86,,,2011-08-16-1831.gpx
2011-08-14 14:21:48,Running,,6.07,30:51,5:05,11.80,510.0,84,,,2011-08-14-1421.gpx
2011-08-11 19:43:13,Running,,5.49,27:33,5:01,11.95,470.0,85,,"First.",2011-08-11-1943.gpx
2011-08-08 10:42:37,Running,,5.29,25:32,4:50,12.43,438.0,51,,,2011-08-08-1042.gpx
2011-08-05 09:29:18,Running,,5.91,27:52,4:43,12.72,485.0,55,,,2011-08-05-0929.gpx
2011-08-04 10:45:17,Running,,5.31,24:46,4:40,12.86,438.0,52,,,2011-08-04-1045.gpx
2011-08-01 17:51:36,Running,,10.01,48:16,4:49,12.45,827.0,90,,"My fastest. ",2011-08-01-1751.gpx
2011-07-31 11:29:28,Running,,5.17,24:02,4:39,12.90,430.0,55,,,2011-07-31-1129.gpx
2011-07-29 18:23:52,Running,,4.20,18:55,4:30,13.33,344.0,40,,,2011-07-29-1823.gpx
2011-07-25 18:11:54,Running,,10.03,48:56,4:53,12.30,825.0,90,,,2011-07-25-1811.gpx
2011-07-23 09:00:35,Running,,6.77,33:01,4:53,12.31,556.0,62,,,2011-07-23-0900.gpx
2011-07-21 18:10:15,Running,,8.01,38:36,4:49,12.44,660.0,77,,,2011-07-21-1810.gpx
2011-07-18 18:19:14,Running,,6.06,29:33,4:53,12.30,502.0,60,,,2011-07-18-1819.gpx
